SID,C_org,Texture,LayerDepth,BulkDensityClass,Stone,C/N,C/S,RootDepth,NumberHorizon,FieldCapacity,WiltingPoint,PoreVolume,Sand,Silt,Clay,DrainageDepth,Drainage%,GroundWaterLevel
152,3.12,TL,03,1,00,10,00,13,02,43,25,64,18,29,53,20,00,99
152,1.07,LTS,20,1,00,10,00,,,36,21,52,31,27,42,20,00,   
153,2.27,TL,03,1,00,10,00,13,02,43,26,54,15,29,56,20,00,99
153,0.81,TL,20,1,00,10,00,,,39,24,53,24,24,52,20,00,   
154,1.64,LU,03,2,00,10,00,13,02,33,18,49,34,41,25,20,00,99
154,0.78,LU,20,2,00,10,00,,,32,20,49,34,37,29,20,00,   
155,0.70,SL3,03,3,00,10,00,05,02,21,09,40,77,14,09,20,00,99
155,0.40,LS4,20,2,00,10,00,,,22,11,44,67,16,17,20,00,   
156,0.74,LS3,03,2,00,10,00,07,02,29,17,47,41,37,22,20,00,99
156,0.36,LU,20,2,00,10,00,,,29,20,49,37,34,29,20,00,   
157,2.78,TU2,03,1,00,10,00,13,02,43,26,54,15,31,54,20,00,99
157,1.36,TL,20,1,00,10,00,,,40,24,53,22,27,51,20,00,   
158,2.18,SS,03,4,00,10,00,03,01,22,09,35,87,09,04,20,00,99
159,0.83,LS4,03,2,00,10,00,13,02,29,16,47,48,28,24,20,00,99
159,0.40,LTS,20,2,00,10,00,,,31,19,50,41,25,34,20,00,   
160,0.39,SL2,03,4,00,10,00,13,02,15,06,35,90,05,05,20,00,99
160,0.20,ST2,20,3,00,10,00,,,14,06,39,87,05,08,20,00,   
161,0.65,ST2,03,3,00,10,00,05,02,20,09,41,79,10,11,20,00,99
161,0.20,SL4,20,3,00,10,00,,,19,09,43,74,11,15,20,00,   
162,1.00,LS3,03,2,00,10,00,03,01,30,17,47,42,36,22,20,00,99
163,1.41,TU2,03,1,00,10,00,13,02,39,25,53,19,32,49,20,00,99
163,0.49,TU2,20,1,00,10,00,,,38,26,54,18,31,51,20,00,   
164,0.50,SL3,03,3,00,10,00,13,02,19,09,40,80,11,09,20,00,99
164,0.28,LU,20,2,00,10,00,,,24,12,46,63,12,25,20,00,   
165,0.75,LS3,03,2,00,10,00,07,02,29,16,47,44,35,21,20,00,99
165,0.47,LU,20,2,00,10,00,,,29,18,48,40,35,25,20,00,   
166,2.13,LS2,03,2,00,10,00,07,02,32,16,47,37,44,19,20,00,99
166,1.70,LS2,20,1,00,10,00,,,32,16,58,37,44,19,20,00,   
167,0.83,LS4,03,2,00,10,00,07,02,29,16,47,48,28,24,20,00,99
167,0.40,LTS,20,2,00,10,00,,,31,19,50,41,25,34,20,00,   
168,0.45,ST2,03,3,00,10,00,13,02,19,09,41,80,09,11,20,00,99
168,0.26,ST3,20,2,00,10,00,,,21,10,44,72,09,19,20,00,   
169,0.70,SL3,03,3,00,10,00,07,02,21,09,40,77,14,09,20,00,99
169,0.40,LS4,20,2,00,10,00,,,22,11,44,67,16,17,20,00,   
170,0.75,LS3,03,2,00,10,00,03,01,29,16,47,44,35,21,20,00,99
171,1.93,SL3,03,3,00,10,00,05,02,24,10,39,76,16,08,20,00,99
171,1.74,SL3,20,1,00,10,00,,,24,10,58,76,16,08,20,00,   
172,1.12,TL,03,1,00,10,00,13,02,41,24,54,22,24,54,20,00,99
172,0.36,LTS,20,1,00,10,00,,,34,21,52,34,22,44,20,00,   
173,0.49,SL2,03,3,00,10,00,03,01,17,08,38,85,08,07,20,00,99
174,1.17,TL,03,1,00,10,00,05,02,39,24,53,23,29,48,20,00,99
174,0.57,TL,20,1,00,10,00,,,36,23,52,26,29,45,20,00,   
175,1.19,TU2,03,1,00,10,00,07,02,39,25,53,19,32,49,20,00,99
175,0.55,TU2,20,1,00,10,00,,,36,25,53,21,32,47,20,00,   
176,0.70,SL2,03,4,00,10,00,07,02,18,08,36,86,09,05,20,00,99
176,0.30,SL2,20,3,00,10,00,,,16,08,38,82,11,07,20,00,   
177,0.56,SL3,03,3,00,10,00,07,02,20,09,40,78,13,09,20,00,99
177,0.30,ST3,20,2,00,10,00,,,24,12,46,64,13,23,20,00,   
178,1.19,TU2,03,1,00,10,00,05,02,39,25,53,19,32,49,20,00,99
178,0.55,TU2,20,1,00,10,00,,,36,25,53,21,32,47,20,00,   
179,1.60,LU,03,2,00,10,00,13,02,33,18,48,25,54,21,20,00,99
179,0.40,LU,20,2,00,10,00,,,31,23,50,23,49,28,20,00,   
180,1.70,LU,03,2,00,10,00,13,02,33,18,49,38,34,28,20,00,99
180,0.62,LTS,20,2,00,10,00,,,33,21,51,34,30,36,20,00,   
181,2.41,SS,03,4,00,10,00,13,02,22,09,34,90,06,04,20,00,99
181,0.88,SL2,20,4,00,10,00,,,18,08,36,89,06,05,20,00,   
182,1.93,SL3,03,3,00,10,00,07,02,24,10,39,76,16,08,20,00,99
182,1.54,SL3,20,1,00,10,00,,,24,10,57,76,16,08,20,00,   
183,2.41,SS,03,4,00,10,00,05,02,22,09,34,90,06,04,20,00,99
183,0.88,SL2,20,4,00,10,00,,,18,08,36,89,06,05,20,00,   
184,1.65,LS3,03,2,00,10,00,07,02,32,17,48,39,39,22,20,00,99
184,0.69,LU,20,2,00,10,00,,,31,19,49,37,35,28,20,00,   
185,1.07,LS2,03,2,00,10,00,07,02,31,18,48,37,40,23,20,00,99
185,0.37,LU,20,2,00,10,00,,,29,20,49,36,36,28,20,00,   
186,1.07,LS2,03,2,00,10,00,05,02,31,18,48,37,40,23,20,00,99
186,0.37,LU,20,2,00,10,00,,,29,20,49,36,36,28,20,00,   
187,1.19,TU2,03,1,00,10,00,10,02,39,25,53,19,32,49,20,00,99
187,0.55,TU2,20,1,00,10,00,,,36,25,53,21,32,47,20,00,   
188,0.83,LS4,03,2,00,10,00,07,02,29,16,48,47,29,24,20,00,99
188,0.28,LTS,20,2,00,10,00,,,30,19,50,39,27,34,20,00,   
189,0.60,LS2,03,2,00,10,00,10,02,29,18,47,34,48,18,20,00,99
189,0.40,LS2,20,2,00,10,00,,,28,18,47,36,46,18,20,00,   
190,0.98,LS4,03,2,00,10,00,13,02,29,16,47,49,28,23,20,00,99
190,0.47,LU,20,2,00,10,00,,,28,17,48,47,26,27,20,00,   
191,0.55,ST2,03,3,00,10,00,05,02,19,09,40,80,10,10,20,00,99
191,0.26,ST3,20,2,00,10,00,,,23,12,46,65,13,22,20,00,   
192,0.56,SL3,03,3,00,10,00,05,02,20,09,40,78,13,09,20,00,99
192,0.30,ST3,20,2,00,10,00,,,24,12,46,64,13,23,20,00,   
193,3.15,SLU,03,1,00,10,00,13,02,31,12,64,48,40,12,20,00,99
193,1.12,SL4,20,3,00,10,00,,,27,13,43,55,33,12,20,00,   
194,1.20,TL,03,1,00,10,00,13,02,38,23,52,27,27,46,20,00,99
194,0.57,TL,20,1,00,10,00,,,39,25,54,21,25,54,20,00,   
195,2.09,LU,03,2,00,10,00,13,02,34,18,49,23,54,23,20,00,99
195,0.89,LU,20,2,00,10,00,,,32,20,48,26,52,22,20,00,   
196,2.17,LU,03,2,00,10,00,13,02,33,18,49,34,41,25,20,00,99
196,0.82,LT2,20,2,00,10,00,,,32,20,50,31,38,31,20,00,   
197,1.26,LS2,03,2,00,10,00,13,02,32,18,48,35,42,23,20,00,99
197,0.50,LT2,20,2,00,10,00,,,32,22,51,29,38,33,20,00,   
198,1.65,LS3,03,2,00,10,00,10,02,32,17,48,39,39,22,20,00,99
198,0.69,LU,20,2,00,10,00,,,31,19,49,37,35,28,20,00,   
199,1.07,LS2,03,2,00,10,00,10,02,31,18,48,37,40,23,20,00,99
199,0.37,LU,20,2,00,10,00,,,29,20,49,36,36,28,20,00,   
200,2.10,TU3,03,1,00,10,00,05,02,39,24,53,19,37,44,20,00,99
200,1.89,TU3,20,1,00,10,00,,,38,24,59,19,37,44,20,00,   
201,0.98,LS3,03,2,00,10,00,13,02,29,15,46,47,34,19,20,00,99
201,0.40,LS3,20,2,00,10,00,,,25,15,46,51,31,18,20,00,   
202,1.00,LS3,03,2,00,10,00,04,02,30,17,47,42,36,22,20,00,99
202,0.37,LU,20,2,00,10,00,,,28,18,48,41,34,25,20,00,   
203,0.70,SL3,03,3,00,10,00,04,02,21,10,40,75,15,10,20,00,99
203,0.27,SL4,20,3,00,10,00,,,21,11,43,68,17,15,20,00,   
204,0.87,SL3,03,3,00,10,00,04,02,21,09,40,79,12,09,20,00,99
204,0.26,SL3,20,3,00,10,00,,,17,08,40,79,11,10,20,00,   
205,1.45,LS3,03,2,00,10,00,04,02,31,16,47,42,38,20,20,00,99
205,0.50,LS3,20,2,00,10,00,,,27,16,46,45,35,20,20,00,   
206,1.97,SU2,03,4,00,10,00,07,02,22,09,35,86,10,04,20,00,99
206,0.91,SL2,20,4,00,10,00,,,19,08,36,85,10,05,20,00,   
207,0.86,LS2,03,2,00,10,00,07,02,30,17,47,39,40,21,20,00,99
207,0.38,LS3,20,2,00,10,00,,,27,18,47,41,38,21,20,00,   
208,0.93,SL3,03,3,00,10,00,05,02,23,10,41,74,16,10,20,00,99
208,0.23,SL4,20,2,00,10,00,,,21,11,44,68,16,16,20,00,   
209,2.72,LS3,03,2,00,10,00,13,02,33,16,48,41,36,23,20,00,99
209,1.07,LS3,20,2,00,10,00,,,30,17,48,44,32,24,20,00,   
210,1.41,TU2,03,1,00,10,00,10,02,39,25,53,19,32,49,20,00,99
210,0.49,TU2,20,1,00,10,00,,,38,26,54,18,31,51,20,00,   
211,2.13,LS2,03,2,00,10,00,13,02,32,16,47,37,44,19,20,00,99
211,1.07,LS2,20,1,00,10,00,,,30,17,53,37,44,19,20,00,   
212,0.99,LS2,03,2,00,10,00,07,02,30,17,47,37,44,19,20,00,99
212,0.28,LT2,20,2,00,10,00,,,30,22,50,31,38,31,20,00,   
213,0.87,TU2,03,1,00,10,00,05,02,38,25,53,19,32,49,20,00,99
213,0.39,TU3,20,1,00,10,00,,,34,24,52,23,35,42,20,00,   
214,1.59,ULS,03,2,00,10,00,07,02,32,16,46,31,54,15,20,00,99
214,0.20,LU,20,2,00,10,00,,,29,24,49,24,50,26,20,00,   
215,2.18,SS,03,4,00,10,00,04,02,22,09,35,87,09,04,20,00,99
215,0.39,SS,20,4,00,10,00,,,15,07,34,88,08,04,20,00,   
216,1.39,LS3,03,2,00,10,00,07,02,31,16,47,42,37,21,20,00,99
216,0.60,LS3,20,2,00,10,00,,,28,16,46,46,34,20,20,00,   
217,1.17,TL,03,1,00,10,00,04,02,39,24,53,23,29,48,20,00,99
217,0.57,TL,20,1,00,10,00,,,36,23,52,26,29,45,20,00,   
218,0.65,SL3,03,3,00,10,00,05,02,21,10,40,76,14,10,20,00,99
218,0.57,SL3,20,2,00,10,00,,,20,09,46,76,14,10,20,00,   
219,2.40,LS3,03,2,00,10,00,05,02,31,15,46,49,31,20,20,00,99
219,2.16,LS3,20,1,00,10,00,,,31,15,60,49,31,20,20,00,   
220,0.57,SL3,03,3,00,10,00,04,02,19,09,39,80,12,08,20,00,99
220,0.24,SL3,20,3,00,10,00,,,17,08,40,79,11,10,20,00,   
221,2.95,ULS,03,2,00,10,00,13,02,34,13,45,24,64,12,20,00,99
221,1.15,ULS,20,2,00,10,00,,,31,16,46,29,57,14,20,00,   
222,0.83,LS4,03,2,00,10,00,05,02,29,16,48,47,29,24,20,00,99
222,0.28,LTS,20,2,00,10,00,,,30,19,50,39,27,34,20,00,   
223,0.99,LS2,03,2,00,10,00,05,02,30,17,47,37,44,19,20,00,99
223,0.28,LT2,20,2,00,10,00,,,30,22,50,31,38,31,20,00,   
224,1.09,LS3,03,2,00,10,00,05,02,30,16,47,46,33,21,20,00,99
224,0.98,LS3,20,1,00,10,00,,,29,16,52,46,33,21,20,00,   
225,0.93,TL,03,1,00,10,00,05,02,40,24,53,25,22,53,20,00,99
225,0.54,TL,20,1,00,10,00,,,40,24,54,23,21,56,20,00,   
226,1.00,LS3,03,2,00,10,00,05,02,29,16,46,45,36,19,20,00,99
226,0.47,LU,20,2,00,10,00,,,29,19,49,39,34,27,20,00,   
227,0.82,LS2,03,2,00,10,00,13,02,29,17,46,37,45,18,20,00,99
227,0.38,LT2,20,2,00,10,00,,,31,21,50,33,35,32,20,00,   
228,1.83,TU3,03,1,00,10,00,13,02,38,23,52,22,36,42,20,00,99
228,0.50,TU3,20,1,00,10,00,,,35,25,53,21,36,43,20,00,   
229,1.00,LS3,03,2,00,10,00,07,02,29,16,46,45,36,19,20,00,99
229,0.47,LU,20,2,00,10,00,,,29,19,49,39,34,27,20,00,   
230,1.00,LS3,03,2,00,10,00,13,02,30,17,46,42,36,22,20,00,99
230,0.40,LU,20,2,00,10,00,,,28,18,46,41,34,25,20,00,   
231,1.40,SL3,03,3,00,10,00,15,02,24,10,40,73,18,09,20,00,99
231,0.56,SL3,20,2,00,10,00,,,21,10,46,73,18,09,20,00,   
232,1.00,LS3,03,2,00,10,00,15,02,30,17,47,42,36,22,20,00,99
232,0.37,LU,20,2,00,10,00,,,28,18,48,41,34,25,20,00,   
233,0.60,SL3,03,3,00,10,00,15,02,20,09,39,76,16,08,20,00,99
233,0.24,SL3,20,3,00,10,00,,,17,09,37,76,16,08,20,00,   
234,1.45,LS3,03,2,00,10,00,03,01,31,16,47,42,38,20,20,00,99
235,0.90,SL2,03,3,00,10,00,05,02,22,09,38,73,21,06,20,00,99
235,0.30,SL4,20,3,00,10,00,,,22,12,43,61,27,12,20,00,   
236,1.61,LS3,03,2,00,10,00,07,02,32,17,48,42,34,24,20,00,99
236,1.29,LS3,20,1,00,10,00,,,31,17,55,42,34,24,20,00,   
237,1.65,LU,03,2,00,10,00,13,02,33,19,49,28,47,25,20,00,99
237,0.78,LU,20,2,00,10,00,,,31,20,49,28,47,25,20,00,   
238,0.50,SL2,03,3,00,10,00,05,02,17,08,37,83,11,06,20,00,99
238,0.30,SL3,20,3,00,10,00,,,17,08,40,80,11,09,20,00,   
239,2.62,TU3,03,1,00,10,00,13,02,38,24,53,12,46,42,20,00,99
239,1.17,TU3,20,1,00,10,00,,,36,25,53,12,48,40,20,00,   
240,1.05,TL,03,1,00,10,00,13,02,41,25,54,19,25,56,20,00,99
240,0.59,TL,20,1,00,10,00,,,41,26,54,18,24,58,20,00,   
241,0.65,LS2,03,2,00,10,00,04,02,29,18,48,36,43,21,20,00,99
241,0.43,LS2,20,2,00,10,00,,,29,19,48,34,43,23,20,00,   
242,1.61,LS3,03,2,00,10,00,15,02,32,17,48,42,34,24,20,00,99
242,0.64,LS3,20,2,00,10,00,,,29,17,47,42,34,24,20,00,   
243,1.65,TL,03,1,00,10,00,07,02,42,26,54,16,29,55,20,00,99
243,0.77,TL,20,1,00,10,00,,,41,26,54,18,24,58,20,00,   
244,1.17,TL,03,1,00,10,00,07,02,39,24,53,23,29,48,20,00,99
244,0.57,TL,20,1,00,10,00,,,36,23,52,26,29,45,20,00,   
245,0.86,LS2,03,2,00,10,00,04,02,30,17,47,39,40,21,20,00,99
245,0.38,LS3,20,2,00,10,00,,,27,18,47,41,38,21,20,00,   
246,2.94,TU2,03,1,00,10,00,13,02,40,26,54,10,43,47,20,00,99
246,0.38,LT2,20,2,00,10,00,,,31,23,51,27,40,33,20,00,   
247,0.98,SL3,03,3,00,10,00,13,02,22,10,40,77,13,10,20,00,99
247,0.69,ST3,20,2,00,10,00,,,25,12,45,66,15,19,20,00,   
248,1.13,SL3,03,3,00,10,00,13,02,23,10,40,72,19,09,20,00,99
248,0.50,SL4,20,3,00,10,00,,,22,11,42,69,19,12,20,00,   
249,1.81,TU2,03,1,00,10,00,13,02,39,24,53,19,34,47,20,00,99
249,0.83,TU3,20,1,00,10,00,,,36,24,52,24,32,44,20,00,   
250,0.40,SL2,03,4,00,10,00,13,02,15,07,36,87,08,05,20,00,99
250,0.24,ST2,20,3,00,10,00,,,16,08,40,82,08,10,20,00,   
251,0.86,LS2,03,2,00,10,00,05,02,30,17,47,39,40,21,20,00,99
251,0.38,LS3,20,2,00,10,00,,,27,18,47,41,38,21,20,00,   
252,0.70,SL3,03,3,00,10,00,03,01,21,10,40,75,15,10,20,00,99
253,2.02,SL2,03,4,00,10,00,05,02,22,09,36,85,10,05,20,00,99
253,0.51,SU2,20,4,00,10,00,,,16,07,35,86,10,04,20,00,   
254,1.61,LS3,03,2,00,10,00,05,02,32,17,48,42,34,24,20,00,99
254,1.45,LS3,20,1,00,10,00,,,32,17,56,42,34,24,20,00,   
255,1.05,LS3,03,2,00,10,00,04,02,29,15,46,47,33,20,20,00,99
255,0.41,LS4,20,2,00,10,00,,,26,15,46,51,29,20,20,00,   
256,2.40,LS3,03,2,00,10,00,13,02,31,15,46,49,31,20,20,00,99
256,1.20,LS3,20,1,00,10,00,,,29,15,54,49,31,20,20,00,   
257,2.29,TL,03,1,00,10,00,03,01,40,22,52,28,25,47,20,00,99
258,1.20,LS2,03,2,00,10,00,13,02,31,17,48,37,42,21,20,00,99
258,0.48,LS2,20,2,00,10,00,,,28,18,47,37,43,20,20,00,   
259,1.13,LS3,03,2,00,10,00,13,02,30,16,47,42,38,20,20,00,99
259,0.37,LTS,20,1,00,10,00,,,34,23,52,28,29,43,20,00,   
260,33.6,TU3,03,1,00,10,00,06,02,40,21,90,20,40,40,20,00,99
260,32.9,LU,20,1,00,10,00,,,37,16,89,47,26,27,20,00,   
261,0.93,TL,03,1,00,10,00,07,02,40,24,53,25,22,53,20,00,99
261,0.54,TL,20,1,00,10,00,,,40,24,54,23,21,56,20,00,   
262,0.65,LS2,03,2,00,10,00,05,02,29,18,48,36,43,21,20,00,99
262,0.43,LS2,20,2,00,10,00,,,29,19,48,34,43,23,20,00,   
263,2.29,TL,03,1,00,10,00,15,02,40,22,52,28,25,47,20,00,99
263,0.92,TL,20,1,00,10,00,,,38,23,51,28,25,47,20,00,   
264,33.6,TU3,03,1,00,10,00,04,02,40,21,90,20,40,40,20,00,99
264,32.9,LU,20,1,00,10,00,,,37,16,89,47,26,27,20,00,   
265,2.29,TL,03,1,00,10,00,13,02,40,22,52,28,25,47,20,00,99
265,1.14,TL,20,1,00,10,00,,,38,23,53,28,25,47,20,00,   
266,2.29,TL,03,1,00,10,00,07,02,40,22,52,28,25,47,20,00,99
266,1.84,TL,20,1,00,10,00,,,40,22,58,28,25,47,20,00,   
267,0.65,SL3,03,3,00,10,00,13,02,21,10,40,76,14,10,20,00,99
267,0.32,SL3,20,3,00,10,00,,,18,09,40,76,14,10,20,00,   
268,2.59,SL3,03,3,00,10,00,07,02,25,10,39,79,13,08,20,00,99
268,2.06,SL3,20,1,00,10,00,,,24,10,60,79,13,08,20,00,   
269,1.37,LS2,03,2,00,10,00,13,02,32,17,48,35,43,22,20,00,99
269,0.48,LS2,20,2,00,10,00,,,29,19,48,35,44,21,20,00,   
270,1.35,TU3,03,1,00,10,00,13,02,37,25,53,17,40,43,20,00,99
270,0.46,TU2,20,1,00,10,00,,,36,27,54,15,38,47,20,00,   
271,1.20,TL,03,1,00,10,00,05,02,39,22,52,31,22,47,20,00,99
271,0.59,TL,20,1,00,10,00,,,39,23,53,27,20,53,20,00,   
272,0.74,LS3,03,2,00,10,00,05,02,29,17,47,41,37,22,20,00,99
272,0.36,LU,20,2,00,10,00,,,29,20,49,37,34,29,20,00,   
273,2.02,SL2,03,4,00,10,00,07,02,22,09,36,85,10,05,20,00,99
273,0.51,SU2,20,4,00,10,00,,,16,07,35,86,10,04,20,00,   
274,0.98,LS3,03,2,00,10,00,03,01,29,15,46,47,34,19,20,00,99
275,1.39,LS3,03,2,00,10,00,03,01,31,16,47,42,37,21,20,00,99
276,1.13,TU2,03,1,00,10,00,13,02,40,27,54,12,36,52,20,00,99
276,0.42,TU2,20,1,00,10,00,,,36,26,53,17,35,48,20,00,   
277,1.20,TU3,03,1,00,10,00,03,01,36,24,52,17,43,40,20,00,99
278,0.65,ST2,03,3,00,10,00,13,02,20,09,41,79,10,11,20,00,99
278,0.20,SL4,20,3,00,10,00,,,19,09,43,74,11,15,20,00,   
279,2.10,TU3,03,1,00,10,00,13,02,39,24,53,19,37,44,20,00,99
279,1.05,TU3,20,1,00,10,00,,,37,25,52,19,37,44,20,00,   
280,3.10,TL,03,1,00,10,00,07,02,42,23,64,25,26,49,20,00,99
280,1.00,TL,20,1,00,10,00,,,38,23,52,26,28,46,20,00,   
281,0.98,LS4,03,2,00,10,00,07,02,29,16,47,49,28,23,20,00,99
281,0.47,LU,20,2,00,10,00,,,28,17,48,47,26,27,20,00,   
282,2.02,SL2,03,3,00,10,00,13,02,22,09,37,86,08,06,20,00,99
282,0.51,ST2,20,3,00,10,00,,,17,07,39,86,06,08,20,00,   
283,3.15,SLU,03,1,00,10,00,07,02,31,12,64,48,40,12,20,00,99
283,1.12,SL4,20,3,00,10,00,,,27,13,43,55,33,12,20,00,   
284,5.27,SLU,03,1,00,10,00,07,02,31,11,70,50,40,10,20,00,99
284,0.81,SL3,20,3,00,10,00,,,25,13,42,55,35,10,20,00,   
285,1.13,LS3,03,2,00,10,00,03,01,30,16,47,42,38,20,20,00,99
286,2.72,LS3,03,2,00,10,00,07,02,33,16,48,41,36,23,20,00,99
286,1.07,LS3,20,2,00,10,00,,,30,17,48,44,32,24,20,00,   
287,1.50,LU,03,2,00,10,00,13,02,33,17,49,44,27,29,20,00,99
287,0.65,LTS,20,2,00,10,00,,,33,19,50,40,23,37,20,00,   
288,1.12,TU3,03,1,00,10,00,13,02,36,22,52,27,32,41,20,00,99
288,0.50,LTS,20,2,00,10,00,,,32,20,50,37,27,36,20,00,   
289,6.74,LS2,03,1,00,10,00,07,02,35,15,72,32,47,21,20,00,99
289,1.99,LS2,20,2,00,10,00,,,33,17,48,34,44,22,20,00,   
290,1.20,TL,03,1,00,10,00,07,02,39,22,52,31,22,47,20,00,99
290,0.59,TL,20,1,00,10,00,,,39,23,53,27,20,53,20,00,   
291,0.82,LS2,03,2,00,10,00,07,02,29,17,46,37,45,18,20,00,99
291,0.38,LT2,20,2,00,10,00,,,31,21,50,33,35,32,20,00,   
292,2.10,TU3,03,1,00,10,00,03,01,39,24,53,19,37,44,20,00,99
293,3.10,TL,03,1,00,10,00,05,02,42,23,64,25,26,49,20,00,99
293,1.00,TL,20,1,00,10,00,,,38,23,52,26,28,46,20,00,   
294,1.83,TU3,03,1,00,10,00,03,01,38,23,52,22,36,42,20,00,99
295,1.20,TU3,03,1,00,10,00,05,02,36,24,52,17,43,40,20,00,99
295,0.37,TU3,20,1,00,10,00,,,32,26,51,16,51,33,20,00,   
296,1.07,TU3,03,1,00,10,00,03,01,37,24,52,20,37,43,20,00,99
297,1.88,TL,03,1,00,10,00,03,01,44,28,56,11,28,61,20,00,99
298,0.96,TL,03,1,00,10,00,03,01,39,25,54,20,29,51,20,00,99
299,1.24,TL,03,1,00,10,00,13,02,42,27,55,13,29,58,20,00,99
299,0.47,TL,20,1,00,10,00,,,41,27,55,15,24,61,20,00,   
300,1.96,TU2,03,1,00,10,00,13,02,40,24,53,22,31,47,20,00,99
300,0.89,TL,20,1,00,10,00,,,40,25,54,20,26,54,20,00,   
301,0.60,LS2,03,2,00,10,00,05,02,29,18,47,34,48,18,20,00,99
301,0.40,LS2,20,2,00,10,00,,,28,18,47,36,46,18,20,00,   
302,1.07,TU3,03,1,00,10,00,13,02,37,24,52,20,37,43,20,00,99
302,0.40,TU3,20,1,00,10,00,,,34,24,52,23,36,41,20,00,   
303,2.54,TL,03,1,00,10,00,13,02,43,26,54,15,30,55,20,00,99
303,1.20,TU3,20,1,00,10,00,,,37,25,53,17,39,44,20,00,   
304,0.53,TL,03,1,00,10,00,13,02,38,25,54,22,26,52,20,00,99
304,0.38,TL,20,1,00,10,00,,,38,24,54,24,23,53,20,00,   
305,0.54,TL,03,1,00,10,00,13,02,38,26,54,19,29,52,20,00,99
